Index | English Source | Urdu Reference | Model Translation | BLEU-1 | BLEU-2 | BLEU-3 | BLEU-4
13 | it will soon be spring | یہ جلد ہی موسم بہار ہو جائے گا | یہ جلد ہی جلد ہی آئے گا | 0.4954 | 0.3783 | 0.2949 | 0.0000
14 | you look stupid | تم بیواقوف لگ رہے ہو۔ | آپ بیوقوف لگ رہے ہیں | 0.4000 | 0.3162 | 0.0000 | 0.0000
15 | my shoulders hurt | میرے کندھوں میں درد ہے | میرا بازو درد ہوتا ہے | 0.4000 | 0.0000 | 0.0000 | 0.0000
16 | we try our best | ہم اپنی پوری کوشش کرتے ہیں | ہم سب کو جلدی کرنا چاہئے | 0.1667 | 0.0000 | 0.0000 | 0.0000
17 | holster your weapon | اپنے ہتھیار کو ہولسٹر کریں | آپ کا ایک جزیرہ | 0.0000 | 0.0000 | 0.0000 | 0.0000
18 | they will negotiate | وہ مذاکرات کریں گے | وہ سرفنگ آئے گا | 0.2500 | 0.0000 | 0.0000 | 0.0000
19 | he is alone | وہ اکیلا ہے | وہ اکیلا ہے | 1.0000 | 1.0000 | 1.0000 | 0.0000
20 | smoking stinks | تمباکو نوشی سے بدبو آتی ہے۔ | خبر سے خون بہہ رہا | 0.1637 | 0.0000 | 0.0000 | 0.0000
21 | dont go to extremes | انتہا ؤں پر نہ جائیں | باہر مت جاؤ | 0.0000 | 0.0000 | 0.0000 | 0.0000
22 | we need more workers | ہمیں مزید کارکنوں کی ضرورت ہے | ہمیں مزید کی ضرورت ہے | 0.8187 | 0.7090 | 0.5182 | 0.0000
23 | dont look for me | مجھے مت ڈھونڈو | مجھے مت چھونا۔ | 0.6667 | 0.5774 | 0.0000 | 0.0000
24 | i can give it a try | میں اسے آزما سکتا ہوں۔ | میں اسے تلاش کروں گا | 0.4000 | 0.3162 | 0.0000 | 0.0000
25 | zain became irritated | زین کو غصہ آگیا | زین غصے سے مر گیا | 0.2000 | 0.0000 | 0.0000 | 0.0000
26 | she still loves him | وہ اب بھی اس سے محبت کرتی ہے | وہ اب بھی اس سے محبت کرتا ہے | 0.8750 | 0.7906 | 0.7491 | 0.7071
27 | i only want tom | میں صرف ٹام چاہتا ہوں۔ | میں ٹام کو چاہتا ہوں۔ | 0.8000 | 0.4472 | 0.0000 | 0.0000
28 | do you speak french | کیا تم فرانسیسی بولتے ہو | کیا آپ فرانسیسی بول سکتے ہیں؟ | 0.3333 | 0.0000 | 0.0000 | 0.0000
29 | she woke up | وہ اٹھی | اسے اندر رکھیں | 0.0000 | 0.0000 | 0.0000 | 0.0000
30 | you need to grow up | آپ کو بڑھنے کی ضرورت ہے۔ | آپ کو گھر جانا ہے۔ | 0.4912 | 0.3171 | 0.0000 | 0.0000
31 | zain is under the bed | زین بیڈ کے نیچے ہے۔ | زین بستر پر ہے | 0.1947 | 0.0000 | 0.0000 | 0.0000
32 | go get your helmet | جاؤ اپنا ہیلمٹ لے لو | اپنے کمرے میں کرو | 0.0000 | 0.0000 | 0.0000 | 0.0000
33 | he scolded her | اس نے اسے ڈانٹ دیا | اس نے اسے دبایا | 0.5841 | 0.5507 | 0.4929 | 0.0000
34 | i said many things to him | میں نے اس سے بہت سی باتیں کیں | میں نے بہت ساری کتنی ملاقات کی | 0.3715 | 0.2317 | 0.0000 | 0.0000
35 | he has short hair | اس کے بال چھوٹے ہیں | اس کے بال چھوٹے ہیں | 1.0000 | 1.0000 | 1.0000 | 1.0000
36 | zain will never agree | زین کبھی نہیں مانے گا۔ | زین کبھی نہیں کرے گا | 0.6000 | 0.5477 | 0.4677 | 0.0000
37 | zain remembers | زین کو یاد ہے | زین کو یاد کرتا ہے | 0.8000 | 0.6325 | 0.5143 | 0.0000
38 | she was depressed | وہ افسردہ تھی | وہ اداس تھا | 0.3333 | 0.0000 | 0.0000 | 0.0000
39 | i bet this will work | میں شرط لگاتا ہوں کہ یہ کام کرے گا۔ | میں اس کا نام چاہتا تھا۔ | 0.1011 | 0.0000 | 0.0000 | 0.0000
40 | dont rip me off | مجھے چیر مت کرو | میری طرف مت چھونا۔ | 0.2500 | 0.0000 | 0.0000 | 0.0000
41 | my shoes squeak | میرے جوتے چیختے ہیں۔ | میرے جوتے گیلے ہو | 0.5000 | 0.4082 | 0.0000 | 0.0000
42 | he is in grave danger | وہ شدید خطرے میں ہے | وہ بوڑھا اور میں ہے۔ | 0.4000 | 0.0000 | 0.0000 | 0.0000
43 | the idea isnt new | خیال نیا نہیں ہے | زندگی نہیں ہے | 0.4777 | 0.4137 | 0.0000 | 0.0000
44 | i do think so | مجھے ایسا لگتا ہے۔ | مجھے لگتا ہے | 0.4777 | 0.0000 | 0.0000 | 0.0000
45 | zain rarely goes out | زین شاذ و نادر ہی باہر جاتا ہے۔ | زین جلد ہی باہر رہا۔ | 0.3293 | 0.2126 | 0.0000 | 0.0000
46 | i lived in poverty | میں غربت میں رہتا تھا۔ | میں پیاسا ہوں | 0.1711 | 0.0000 | 0.0000 | 0.0000
47 | he bought a thimble | اس نے ایک تھمبل خریدا | اس نے ایک ایک گول خریدا | 0.6667 | 0.5164 | 0.4092 | 0.0000
48 | your plan wont work | آپ کا منصوبہ کام نہیں کرے گا | آپ کو رات کا کام نہیں ہے۔ | 0.5714 | 0.3086 | 0.0000 | 0.0000
49 | your face is pale | آپ کا چہرہ پیلا ہے | آپ کی سردی کیسی ہے | 0.4000 | 0.0000 | 0.0000 | 0.0000
50 | i seldom speak to him | میں اس سے شاذ و نادر ہی بات کرتا ہوں۔ | میں اس سے زیادہ دیکھتا ہوں۔ | 0.3423 | 0.2651 | 0.2101 | 0.0000
51 | are you dating anyone | کیا آپ کسی سے مل رہے ہیں؟ | کیا آپ کو کوئی رقم کی ضرورت ہے؟ | 0.2500 | 0.1890 | 0.0000 | 0.0000
52 | happy holidays | خوش چھٹیاں | خوش قسمت | 0.5000 | 0.0000 | 0.0000 | 0.0000
53 | you taught us that | آپ نے ہمیں سکھایا کہ | ہم نے آپ کو ایک خط بھیجا | 0.2857 | 0.0000 | 0.0000 | 0.0000
54 | you look incredible | آپ ناقابل یقین نظر آتے ہیں | آپ مطمئن لگ رہے ہیں | 0.3275 | 0.0000 | 0.0000 | 0.0000
55 | we need each other | ہمیں ایک دوسرے کی ضرورت ہے | ہمیں ایک دوسرے کی ضرورت ہے | 1.0000 | 1.0000 | 1.0000 | 1.0000
56 | dont cheat him | اسے دھوکہ نہ دو | اس کی کوشش نہیں | 0.0000 | 0.0000 | 0.0000 | 0.0000
57 | everyone hesitated | ہر کوئی ہچکچاتا تھا | ہر کوئی بچ گیا | 0.5000 | 0.4082 | 0.0000 | 0.0000
58 | i dont allow it | میں اس کی اجازت نہیں دیتا | میں اس کی توقع نہیں کرتا | 0.6667 | 0.5164 | 0.4092 | 0.0000
59 | how is your sister | آپ کی بہن کیسی ہے | آپ کی بہن ہے | 0.7788 | 0.6359 | 0.5420 | 0.0000
60 | were worried | پریشان تھے | پریشان تھے | 1.0000 | 1.0000 | 0.0000 | 0.0000
61 | now its up to me | اب یہ مجھ پر منحصر ہے | اب میرے لئے یہ ہے | 0.4912 | 0.0000 | 0.0000 | 0.0000
62 | it wouldn't surprise me	 | مجھے حیرانی نہیں ہو گی۔ | یہ سب میری طرح یاد کرتا ہے | 0.0000 | 0.0000 | 0.0000 | 0.0000
63 | say please | براہ مہربانی کہو | براہ مہربانی | 0.6065 | 0.6065 | 0.0000 | 0.0000
64 | listen all of you | تم سب کو سنو | آپ کی بات ہے | 0.0000 | 0.0000 | 0.0000 | 0.0000
65 | fill in the blanks | خالی جگہیں پر کرنا | بادشاہ میں | 0.0000 | 0.0000 | 0.0000 | 0.0000
66 | did zain see anything | زین نے کچھ دیکھا؟ | زین نے کچھ پایا | 0.7500 | 0.7071 | 0.6329 | 0.0000
67 | he threw the ball | اس نے گیند پھینک دی | اس نے بندوق پھینک دیا | 0.6000 | 0.3873 | 0.0000 | 0.0000
68 | i have a backache | مجھے کمر میں درد ہے۔ | میرے پاس ایک دستی بم ہے | 0.0000 | 0.0000 | 0.0000 | 0.0000
69 | you are joking | تم مذاق کر رہے ہو | آپ کو بیوقوف ہے | 0.0000 | 0.0000 | 0.0000 | 0.0000
70 | he/she abused me | اس نے میرے ساتھ زیادتی کی۔ | انہوں نے میرا مذاق کیا | 0.1637 | 0.0000 | 0.0000 | 0.0000
71 | i am not your mother | میں تمہاری ماں نہیں ہوں۔ | میں آپ کی مدد نہیں ہوں۔ | 0.5000 | 0.3162 | 0.0000 | 0.0000
72 | which cat is yours | کون سی بلی آپ کی ہے؟ | کون سا تمہارا ہے | 0.1516 | 0.0000 | 0.0000 | 0.0000
73 | zain is good to me | زین میرے لئے اچھا ہے | زین میری طرح مذاق ہے | 0.4000 | 0.0000 | 0.0000 | 0.0000
74 | i am not sure | مجھے یقین نہیں ہے. | مجھے یقین نہیں ہے. | 1.0000 | 1.0000 | 1.0000 | 1.0000
75 | thanks for the offer | پیشکش کے لئے شکریہ | رقص کرنے دیتا ہے | 0.0000 | 0.0000 | 0.0000 | 0.0000
76 | at last my turn came | آخر کار میری باری آ گئی۔ | میری پیٹھ میں آیا | 0.1516 | 0.0000 | 0.0000 | 0.0000
77 | it was on sale | یہ فروخت پر تھا | یہ تقریبا میں تھا | 0.5000 | 0.0000 | 0.0000 | 0.0000
78 | please stop crying | پلیز رونا بند کرو | براہ کرم مداخلت بند کریں | 0.2000 | 0.0000 | 0.0000 | 0.0000
79 | zain was scary | زین خوفناک تھا | زین غیر دانشمند تھا | 0.5000 | 0.0000 | 0.0000 | 0.0000
80 | zains strong | زان مضبوط | زین ٹپسی | 0.0000 | 0.0000 | 0.0000 | 0.0000
81 | is this normal | کیا یہ عام ہے؟ | کیا یہ آپ کی ہے؟ | 0.6000 | 0.3873 | 0.0000 | 0.0000
82 | zain died yesterday | زین کا انتقال گزشتہ روز ہوا۔ | زین کل مر گیا | 0.1516 | 0.0000 | 0.0000 | 0.0000
83 | is it really you | کیا یہ واقعی آپ ہیں | کیا یہ واقعی آپ کا ہے؟ | 0.6667 | 0.6325 | 0.5879 | 0.5081
84 | zain wears a wig | زین ایک وگ پہنتا ہے | زین ایک جاسوس ہے۔ | 0.3894 | 0.3179 | 0.0000 | 0.0000
85 | did zain bite you | زین نے آپ کو کاٹا؟ | زین نے آپ کو بتایا؟ | 0.8000 | 0.7746 | 0.7391 | 0.6687
86 | you are wasting water | آپ پانی ضائع کر رہے ہیں | آپ جلدی کر رہے ہیں | 0.6550 | 0.5178 | 0.4211 | 0.0000
87 | that was really fun | یہ واقعی مزہ تھا | یہ واقعی برا تھا | 0.7500 | 0.5000 | 0.0000 | 0.0000
88 | he works for a bank | وہ ایک بینک کے لئے کام کرتا ہے | وہ ایک بینک کے لئے کام کرتا ہے | 1.0000 | 1.0000 | 1.0000 | 1.0000
89 | defend yourselves | اپنا دفاع کریں | اپنے آپ کو بچاؤ | 0.0000 | 0.0000 | 0.0000 | 0.0000
90 | is she staying at a hotel | کیا وہ ہوٹل میں قیام کر رہی ہے؟ | وہ ایک بچہ بنا رہا ہے | 0.1194 | 0.0000 | 0.0000 | 0.0000
91 | this is zains grave | یہ زین قبر ہے | زین یہ بے رحم ہے | 0.6000 | 0.0000 | 0.0000 | 0.0000
92 | i dont like her hat | مجھے اس کی ٹوپی پسند نہیں ہے | میں اس کی گاڑی پسند کرتا ہوں | 0.4286 | 0.2673 | 0.0000 | 0.0000
93 | anything else | کچھ اور | کچھ بھی زندہ | 0.3333 | 0.0000 | 0.0000 | 0.0000
94 | this one is prettier | یہ خوبصورت ہے | یہ ایک سفید ہے | 0.5000 | 0.0000 | 0.0000 | 0.0000
95 | i am speaking | میں بول رہا ہوں | میں ٹھیک ہوں | 0.4777 | 0.0000 | 0.0000 | 0.0000
96 | it might be fun | یہ مزہ ہو سکتا ہے | یہ مزہ ہو سکتا ہے | 1.0000 | 1.0000 | 1.0000 | 1.0000
97 | quit wasting time | وقت ضائع کرنا چھوڑ دو | وقت سے باہر رہو | 0.1947 | 0.0000 | 0.0000 | 0.0000
98 | i often meet her | میں اکثر اس سے ملتا ہوں۔ | میں اس سے پہلے سے محبت کرتا ہوں | 0.3750 | 0.2315 | 0.0000 | 0.0000
99 | you lost an earring | آپ نے ایک بالی کھو دی۔ | آپ نے ایک چابی کھو دیا | 0.6667 | 0.5164 | 0.4092 | 0.0000
